['Z', 'N', 'N', 'N', 'OR', 'NO']	Otworzono drzwi do jadalni.
['Z', 'Z', 'Z', 'Z', 'Z', 'OZ']	— Ale, ale!...
['W', 'S', 'S', 'S', 'LS', 'S']	Od wieków tak bardzo odosobieni, samotni, nie żyjąc z nikim, rodziną się tylko własną i sami sobą otaczając starczyli sobie, ani z sąsiadami, ani z tymi do których wypadki ich zbliżały nie zawiązując ściślejszych stosunków.
['N', 'N', 'S', 'N', 'Z', 'N']	Ogniwa przyczyn i skutków są koniecznością lub myślą, ale dopiero w człowieku; historya — kroniką mniej więcej skandaliczną; prawo — opartem na doświadczeniu modus vivendi społeczeństw; spekulacya — chorobą umysłową.
['U', 'O', 'SZ', 'O', 'O', 'L']	Była pewna, że za pierwszym zbliżeniem się dostanie w twarz od dziewczyny.
['O', 'N', 'OSU', 'LNOU', 'Z', 'O']	Padre Torquemada stał przy oknie zamyślony, na koniec odwrócił się i podszedł do stołu.
['Z', 'N', 'U', 'R', 'N', 'Z']	— Wyprostowała się ździebko wodząc oczyma po oszroniałych dachach, bo jaskółki, siedzące rzędem na kalenicy, zaświegotały pieściwie.
['U', 'N', 'OSU', 'LO', 'LS', 'GLS']	Po tygodniu milczenia pozwoli, aby wymawiano w jej obecności moje imię; później zacznie sama mówić o mnie z tęsknym spojrzeniem, jak gdyby chcąc powiedzieć: „ Pocieszcie mnie! ” A kiedy stopniowo dojdzie do tego, iż zacznie nie unikać mego wspomnienia, ale nie mówić już o nim; kiedy w piękny wiosenny poranek otworzy na oścież okno śpiewowi ptasząt; kiedy zapadnie w marzącą zadumę i powie: „ Kochałam!... ”, któż będzie wówczas przy niej? kto ośmieli się odpowiedzieć, iż trzeba kochać jeszcze?
['L', 'Z', 'U', 'NU', 'Z', 'N']	Wszak to jest poniekąd prawdziwe posiadanie kobiety: trzymać ją pół godziny w ramionach, unosić ją, drżącą mimo woli i nie bez przyczyny, w ten sposób, iż trudno określić, czy się ją ochrania, czy się ją gwałci.
['O', 'Z', 'OZ', 'OZ', 'O', 'GZ']	To pewnie i gazety pisze?
['Z', 'N', 'N', 'N', 'RU', 'U']	Mauli pilnie przestrzegał owego prawa.
['O', 'Z', 'O', 'GOZ', 'Z', 'W']	Jakież mogliśmy mieć pobudki?
['G', 'G', 'GW', 'GSW', 'L', 'GW']	Tyś go zabił — podchwycił sędzia.
['W', 'N', 'L', 'GW', 'GLW', 'L']	Gdybym go zostawił w odzieży robotnika, cel byłby chybiony.
['N', 'N', 'S', 'N', 'N', 'S']	Była to sprawa dawna, początkiem swoim sięgająca końca młodzieńczych zapałów Benedykta Korczyńskiego, a złożona z mnóstwa drobnych uraz i zajść, jak z mnóstwa atomów składa się gruba chmura.
